,ship_to_name,ship_to_name_Kfold_Target_Enc
117,RDM CEBONG KONSTRUKSINDO / CK,893.3333333173956
118,PBR CIPTA MORTA UTAMA KENDAL,850.6666666666666
119,RDM DBI / PRY RADUGUNTING,850.0000000348485
120,RDM DIRGANTARA BETONINDO / BOYOLALI,863.6363636374318
121,RDM GEONIKA UTAMA PERDANA,900.0
122,RDM HEKSA MANDIRI BETON,895.0
123,RDM INTIMIX MITRA PERKASA,881.9999999839999
124,JATI KENCANA BETON CV/PLANT UNGARAN,1150.578847252578
125,"JATI KENCANA, CV (READYMIX)",850.7142857571429
126,"JATI KENCANA, CV/READYMIX",839.2857142971429
127,RDM JATI KENCANA BETON,860.0
128,"KARYA MANUNGGAL JAYA LESTARI, PT",765.0
129,RDM KARYA ADI KENCANA GRP SELO K,758.3333333333334
130,RDM KARYA INDAH,920.0
131,RDM KEJORA JAYA RAYA,880.7692307538462
132,RDM KURMO BETON,902.5
133,PBR LAKSANA PT,869.99999996
134,RDM LARISSA READYMIX,866.8558996535655
135,RDM MITRA WIGUNA NUSANTARA,869.9999999933334
136,MULTIBETON KARYA MANDIRI PT,874.4444444444445
137,RDM NINGSRI,896.6666666666666
138,NUSA JAYA CONCRETAMA,897.6923076800001
139,RDM PANCA WIRA PUTRA PL KRANYAR,907.0705229793979
140,PBR DUA SEMBILAN,863.3333333333334
141,PRY TOLL SEMARANG - DEMAK,866.8611111111111
142,RDM PRIMA LOGAM,895.55555555
143,RDM PUTRA MANDIRI,885.5384615264614
144,RDM PANEN ISHICON,1150.578847252578
145,RATNA PT. (PLANT GIRIWOYO),1050.0
146,RDM RATNA SANTI LESTARI PL JEPARA,870.0
147,"RODA JAYA PERKASA, PT",883.0
148,RDM SAKA PILAR UTAMA,877.6923076676924
149,"RDM SAMBAS BETON, PT",910.0
150,RDM SATWIGA MUSTIKA NAGA PL SMRG,879.9999999733334
151,RDM SCG PLANT PURWOSARI / SUKOHARJO,1150.578847252578
152,RDM SCG PLANT SOLO RING ROAD,832.8571428571429
153,SCG READYMIX PLANT SEMARANG PT.,1150.578847252578
154,SELO PROGO SAKTI PT.,740.0
155,PRY HULU MIGAS BLOK CEPU TIUNG BRU/,890.0
156,PRY PBTR / SMJ,855.0
157,RDM SURAJAYA TATA MEGAH,878.3333333100001
158,RDM SURYA BUANA INDAH,921.8181818263637
159,"RDM SURYA JAYA BETON, PT",855.4108220816313
160,RDM SURYA TEKHNIK PERKASA,866.3636363636364
161,RDM SUTIKNO TIRTA KENCANA,893.5669501186185
162,RDM TAWAKAL TSANI MAKMUR/TAWAKAL,910.0
163,RDM TRI JAYA CIPTA MAKMUL PL WONOGI,907.1428571428571
164,TRIYAGAN HERMET PERKASA,853.5714285714286
165,RDM VALENTARA SARANA RAYA,1150.578847252578
166,PRY BENDUNGAN JLANTAH,1003.2
167,PRY WASKITA BETON PRECAST PL SOLO,1150.578847252578
168,RDM WIKAN ANDARU / BLORA,1150.578847252578
169,"WIJAYA KARYA BETON, PT",864.8540201650997
170,PBR APLUS PACIFIC (SP)/APLUS PACIFI,1150.578847252578
171,PBR MORTAR AAC BLOCK,830.0
172,PBR ABDILLAH WIDJAYA,900.0
173,RDM ADHIMIX PCI INDONESIA,849.99999996075
174,RDM ADHIMIX PCI INDONESIA/API,849.9999999803749
175,RDM ADHIMIX RMC INDONESIA/ARI,829.9999999929687
176,ABI MANUNGGAL PLANT CITRALAND,717.5
177,ABI MANUNGGAL PLANT PLOSO JOMBANG,900.0
178,BATCHING PLANT ROMO KALISARI,1150.578847252578
179,PBR ANUGERAH SUKSES SEJAHTERA JAYA,849.999984561753
180,ARJAYA PLANT KRIAN,598.1709221011547
181,RDM BAHTERA KURNIA ABADI,907.3333333333334
182,PRY BANGUN JAYA BERSAMA,1150.578847252578
183,PBR BAROKAH JAYA,904.2857142857143
184,PRY BEND SEMANTOK PAKET I,952.0
185,"PBR BUILDING MATERIAL CONSTRUCT, CV",790.0
186,PRY TAMBANG MAS TUJUH BUKIT/BS,907.2
187,RDM CAHAYA INDAH MADYA PRATAMA PT,1150.578847252578
188,CALVARI ABADI,838.3333333333334
189,CISANGKAN PT. PLANT PASURUAN,821.4285714285714
190,CITICON NUSANTARA INDUSTRIES PT.,1150.578847252578
191,CORIN MULIA GEMILANG PT.,0.0
192,RDM CORINDO MAKMUR PERKASA / CMP,930.0
193,PBR CV DEWA DEWA,897.1428571428571
194,RDM DUA PUTRI KEDATON PT,870.2085454505454
195,DUTA BANGSA MANDIRI PT.,1150.578847252578
196,DUTA BANGSA MANDIRI PT.(READYMIX),895.3333333333334
197,DUTA BANGSA PT.,643.9285714285714
198,"DUTA BANGSA READYMIX, CV",903.75
199,DUTA BETON MANDIRI PT.,894.6666666666666
200,DUTA PAVING MANDIRI CV.,897.8571428571429
201,PRY INKA-DUTA BANGSA MANDIRI,915.0
202,RDM DUTA BANGSA MANDIRI,905.0
203,RDM DWI MULYO LESTARI,882.5
204,EDOMIX MEGA BETON CV.,820.0
205,"RDM FEVA INDONESIA, PT",944.0
206,"FOCON INDONESIA, PT",784.6666666666666
207,PBR GUNUNG AGUNG CV,890.0
208,"HUME SAKTI INDONESIA, PT",857.5
209,JAVAMIX CV.,921.4285714285714
210,PRY TIANG PANCANG / JAYA BETON INDO,960.0
211,PBR JAYA ETIKA BETON,904.4117647058823
212,PBR BATARINGAN JAYABRIX INDONESIA,818.3205961899897
213,RDM JISOELMAN PUTRA BANGSA,875.00000230072
214,RDM KALI SURUH KARSA MANDIRI,876.25
215,PBR KARYA SENTOSA,900.0
216,RDM KHARISMA MULTI JAYA,900.0
217,PRY KONSTRUKSI INDONESIA MANDIRI,875.0
218,LANTAI MAS CV.,928.75
219,PBR DJENGGOLO / MAHIR BETON,789.8684790374245
220,PBR MAJU MAKMUR PABRIK TEGEL,1040.0
221,"MERAK JAYA BETON, PT",840.0
222,RDM MERAK BETON  PLANT BOJONEGORO,1150.578847252578
223,RDM MERAK JAYA BETON MADIUN,1150.578847252578
224,RDM MERAK JAYA BETON/MERAK JAYA BET,1150.578847252578
225,MMI PLANT SIDOARJO,1150.578847252578
226,PBR MONIER,815.3009934695012
227,RDM MULTI RAZULKA SAKTI,860.0
228,PBR NOVITA,911.4285714285714
229,PBR PAKIS INDAH,927.2727272727273
230,PBR HUSEIN MUHDAR PUTRA,885.0
231,PBR KARYA INDO BETON,866.3636363636364
232,PBR PAVING PRIMKOPAU JOMBANG,870.0
233,PBR PERDANA KONTRUKSI,985.0
234,"PERUSAHAAN TEGEL & BETON ""ACC""",934.7692307692307
235,RDM PIRANTI UTOMO MAKMUR,881.0
236,PBR PRIMA VOS LIGHT BLOCK,705.2173913043479
237,RATNA PT. (PLANT PACITAN),911.4285714285714
238,RDM REKAYASA ENGINEERING BETON / RE,880.0
239,RDM RESTU ANAK JAYA ABADI BETON/PLA,860.00000097856
240,RDM RESTU ANAK JAYA ABADI BETON/PRY,845.5263157894736
241,RDM ROSAN PRIMA GROUP,851.25
242,"PBR SANTOSO GEMABAHAGIA, PT",808.3333333333334
243,SARI BUMI CONBLOCK CV,930.0
244,RDM SATWIGA MUSTIKA NAGA,894.2857142857143
245,RDM SCG INDONESIA / PLANT PLOSO,1150.578847252578
246,RDM SCG PLANT KEDIRI,850.0
247,SCG READYMIX PLANT GEMPOL PASURUAN,1150.578847252578
248,SCG READYMIX PLANT PLOSO JOMBANG,1150.578847252578
249,SEKAR SURYA CV.,1150.578847252578
250,SEMAR BETON PERKASA(PLANT LAMONGAN),1150.578847252578
251,PBR SETIA CV,937.5
252,SINAR ABADI CITRA SARANA PT. (SACS),920.0
253,"SIRKAH PURBANTARA UTAMA, PT",874.999999540345
254,RDM SRIWIJAYA DELAPAN TUJUH,891.5384615384615
255,RDM SUMBER KALI BETON,870.0
256,RDM SURYA BENGAWAN SAKTI PL KAPAS,900.0
257,SURYA BUANA SENTOSA PT.,1150.578847252578
258,RDM SYAUGI BALAFIF,900.0
259,RDM TIRTA PERKASA ABADI-DAMPIT,919.5454545454545
260,PRY WADUK SEMANTOK/TRIJAYA ADHIMIX,887.1428571428571
261,RDM KRIS JAYA ADYMIX,812.9166684365297
262,RDM TRIJAYA ADYMIX PLANT NGORO,891.4285714285714
263,AYEM MULYA INDAH READYMIX,880.0
264,"KADIRI SARANA BHAKTI, PT",890.6666666666666
265,RDM TUGU BETON SEMESTA ABADI - TUBA,829.9999963662791
266,UBIN SURABAYA PERMAI PT.,1150.578847252578
267,RDM UNGGUL JAYA BETON,862.1431770981798
268,PBR WAHANA CIPTA CONCRETINDO / PRY,980.0
269,PBR WANGI JAYA,959.0
270,PRY WASKITA BETON PRECAST PL JIIPE,1150.578847252578
271,RDM WASKITA BETON PRECAST PLNT PRMB,802.7272727272727
273,RDM WONO SALAM MAKMUR,917.0
274,PBR ZIDAN JAYA,873.8461538461538
275,CITRA MANDIRI REKAYASA PT.,997.86013986014
276,DUA AGUNG PT (READYMIX),956.3823827338007
277,Pry bumi raya city mall,1150.578847252578
278,PT. NUSANTARA JAYA MIX,950.0
279,RDM PBA READYMIX BP BANJAR,928.0
280,PT. KALIMANTAN CONCRATE ENGINNEERIN,498.0
281,PT. SYIFA BETON KONSTRUKSI,1150.0
282,GDG SINCANA PUTRA ABADI,1150.578847252578
283,RDM AJB PRY RDMP PERTAMINA,1075.0
284,RDM BRM PRY RDMP PERTAMINA,1009.2307692307693
285,SAMARINDA,1058.8235294117646
286,KUTAI TIMUR,1175.0
287,CHI CHI JAYA PRY KUTAI BARAT,1150.578847252578
288,KUTAI BARAT,1366.6666666666667
289,PT. ILA BASICA KONSTRUKSI,1250.0
290,KARYA KREASI PRIMA PT,1170.0
291,RDM GARTON BP PROYEK JEMBATAN,1100.0
292,PT. GUNUNG INTAN,1150.578847252578
293,PROYEK JALAN TOL BALSAM SEKSI 234,1150.578847252578
294,ADHI PUTRA KENCANA PT (SOLID MIX),1150.578847252578
295,CV. Arum Abadi (ARDI),894.5833333333334
296,HENI,1150.578847252578
297,SUMBER WINDU AIR MAS PT.,1150.578847252578
298,PT Wika Beton/PPB Lampung Selatan,686.4363636363636
299,Proyek Wika beton Pbb,636.75
300,WIJAYA KARYA BETON PT. (KETAPANG),1150.578847252578
301,PT. INTI TEKNINDO DIAN MANDIRI,1150.578847252578
302,PROYEK WEDA BAY,1275.0
303,PRY BRINGINSILA PAKET 2,850.0
304,PT. ABIPRAYA PRY BRINGINSILA,850.0
305,PT. UTAMA BETON PERKASA,1150.578847252578
306,PRY PELABUHAN LABUAN BAJO,1430.0
307,proyek BD-PKT-APBNP-19 MODERN WIDYA,1396.6666666666667
308,proyek BD-PKT-APBNP-19 TULEN JAYAMA,1150.578847252578
309,PT. DAVICO ENGINERING,1372.142857142857
310,PT Alas Watu Emas,1150.578847252578
311,PT BETON INDO PERKASA,942.6857142857144
312,PT.BETON INDO PERKASA,1120.8641975308674
313,PT. Beton Mitra Perkasa,1150.578847252578
314,"DUMAI JAYA BETON, DUM, DJB",1023.2653061224489
315,RDM FARIKA R. P. / KUBANG RAYA,986.0
316,Pry PLTGU Tenayan Riau/HK,1769.2362611205149
317,Pryk Tol HK Pku Bangkinang,936.0
318,PT Lutvindo Wijaya Perkasa,1205.7142857142858
319,PT.MEKAR ABADI MANDIRI,1250.0
320,PRYK PEMB PLTGU TENAYAN RAYA PT WPK,1150.578847252578
321,PT Rajawali Emas Ancor Lestari,1170.0
322,PT.RIAU BETON MANDIRI,1150.578847252578
323,PT Surya Perkasa Beton,1200.6666666666667
324,BP TLB Pekanbaru,975.0
325,PBR PRECAST / BP I WITON KAMPAR,1182.6666666666667
326,PT. BIB,1150.578847252578
327,BOSTON BETON PT.,999.1428571428571
328,"CITRA BETON, BTM, LOC",912.8125
329,Indo Tirta Suaka,945.0
330,PERKASA BETON BATAM PT.,492.0
331,BETON KARYA PUNGGUR PT.,995.0
332,PT. Remicon Widya Prima,561.6071428571429
333,"UTAMA INDAH MITRA SETIA, BTM, RET",902.6666666666666
