material_type,material_type_kfold_target_enc
OPC PREMIUM,835164.4071601148
OPC REGULER,865687.7444876803
OWC,1843206.314066677
PCC,971298.2843062126
PCC PREMIUM,867504.1285052848
PPC,1505200.0
SBC,1145763.0936685812
TYPE II,1358272.4089635855
TYPE V,1288975.4846888587
